NAME,POPESTIMATE,BIRTHS,Year
Alabama,4852347,59647,2015
Alabama,4863525,59389,2016
Alabama,4874486,58961,2017
Alabama,4887681,58271,2018
Alaska,737498,11330,2015
Alaska,741456,11246,2016
Alaska,739700,10803,2017
Alaska,735139,10284,2018
Arizona,6829676,86764,2015
Arizona,6941072,84957,2016
Arizona,7044008,83021,2017
Arizona,7158024,81767,2018
Arkansas,2978048,38796,2015
Arkansas,2989918,38612,2016
Arkansas,3001345,37737,2017
Arkansas,3009733,37239,2018
California,38918045,500380,2015
California,39167117,490358,2016
California,39358497,481943,2017
California,39461588,465017,2018
Colorado,5450623,66350,2015
Colorado,5539215,66588,2016
Colorado,5611885,65375,2017
Colorado,5691287,64494,2018
Connecticut,3587122,36321,2015
Connecticut,3578141,35888,2016
Connecticut,3573297,35551,2017
Connecticut,3571520,34883,2018
Delaware,941252,11026,2015
Delaware,948921,11084,2016
Delaware,956823,10978,2017
Delaware,965479,10732,2018
District of Columbia,675400,9648,2015
District of Columbia,685815,9718,2016
District of Columbia,694906,9693,2017
District of Columbia,701547,9523,2018
Florida,20209042,221746,2015
Florida,20613477,224651,2016
Florida,20963613,224574,2017
Florida,21244317,223066,2018
Georgia,10178447,131676,2015
Georgia,10301890,130742,2016
Georgia,10410330,129824,2017
Georgia,10511131,128547,2018
Hawaii,1422052,18212,2015
Hawaii,1427559,18250,2016
Hawaii,1424393,17939,2017
Hawaii,1420593,17173,2018
Idaho,1651059,23030,2015
Idaho,1682380,22642,2016
Idaho,1717715,22430,2017
Idaho,1750536,22054,2018
Illinois,12858913,159239,2015
Illinois,12820527,156289,2016
Illinois,12778828,151944,2017
Illinois,12723071,147037,2018
Indiana,6608422,84175,2015
Indiana,6634304,83559,2016
Indiana,6658078,82268,2017
Indiana,6695497,81801,2018
Iowa,3120960,39702,2015
Iowa,3131371,39432,2016
Iowa,3141550,38850,2017
Iowa,3148618,38068,2018
Kansas,2909011,39001,2015
Kansas,2910844,38613,2016
Kansas,2908718,37409,2017
Kansas,2911359,35912,2018
Kentucky,4425976,55943,2015
Kentucky,4438182,55681,2016
Kentucky,4452268,54910,2017
Kentucky,4461153,54428,2018
Louisiana,4664628,64390,2015
Louisiana,4678135,63993,2016
Louisiana,4670560,62391,2017
Louisiana,4659690,59870,2018
Maine,1328262,12652,2015
Maine,1331317,12647,2016
Maine,1334612,12451,2017
Maine,1339057,12252,2018
Maryland,5985562,74134,2015
Maryland,6003323,73397,2016
Maryland,6023868,71942,2017
Maryland,6035802,71389,2018
Massachusetts,6794228,71919,2015
Massachusetts,6823608,71410,2016
Massachusetts,6859789,70765,2017
Massachusetts,6882635,70696,2018
Michigan,9931715,113802,2015
Michigan,9950571,113314,2016
Michigan,9973114,112565,2017
Michigan,9984072,110376,2018
Minnesota,5482032,69711,2015
Minnesota,5522744,69808,2016
Minnesota,5566230,69570,2017
Minnesota,5606249,67861,2018
Mississippi,2988471,38577,2015
Mississippi,2987938,38159,2016
Mississippi,2988510,37532,2017
Mississippi,2981020,36832,2018
Missouri,6071732,75145,2015
Missouri,6087135,74882,2016
Missouri,6106670,73765,2017
Missouri,6121623,72323,2018
Montana,1030475,12582,2015
Montana,1040859,12430,2016
Montana,1052482,12194,2017
Montana,1060665,11552,2018
Nebraska,1891277,26859,2015
Nebraska,1905616,26619,2016
Nebraska,1915947,26226,2017
Nebraska,1925614,25470,2018
Nevada,2866939,36228,2015
Nevada,2917563,36290,2016
Nevada,2969905,36152,2017
Nevada,3027341,35700,2018
New Hampshire,1336350,12378,2015
New Hampshire,1342307,12355,2016
New Hampshire,1348787,12251,2017
New Hampshire,1353465,12023,2018
New Jersey,8867949,103115,2015
New Jersey,8870827,102906,2016
New Jersey,8885525,101676,2017
New Jersey,8886025,100724,2018
New Mexico,2089291,26054,2015
New Mexico,2091630,25263,2016
New Mexico,2091784,24131,2017
New Mexico,2092741,23404,2018
New York,19654666,239352,2015
New York,19633428,235832,2016
New York,19589572,231376,2017
New York,19530351,226993,2018
North Carolina,10031646,120836,2015
North Carolina,10154788,120837,2016
North Carolina,10268233,120151,2017
North Carolina,10381615,120176,2018
North Dakota,754066,11406,2015
North Dakota,754434,11341,2016
North Dakota,754942,11140,2017
North Dakota,758080,10570,2018
Ohio,11617527,139561,2015
Ohio,11634370,138667,2016
Ohio,11659650,136909,2017
Ohio,11676341,135947,2018
Oklahoma,3909500,53525,2015
Oklahoma,3926331,52860,2016
Oklahoma,3931316,51467,2017
Oklahoma,3940235,49525,2018
Oregon,4015792,45668,2015
Oregon,4089976,45593,2016
Oregon,4143625,44711,2017
Oregon,4181886,43425,2018
Pennsylvania,12784826,141920,2015
Pennsylvania,12782275,140259,2016
Pennsylvania,12787641,137982,2017
Pennsylvania,12800922,136914,2018
Rhode Island,1056065,10875,2015
Rhode Island,1056770,10901,2016
Rhode Island,1055673,10663,2017
Rhode Island,1058287,10691,2018
South Carolina,4891938,58277,2015
South Carolina,4957968,57755,2016
South Carolina,5021268,56943,2017
South Carolina,5084156,56793,2018
South Dakota,853988,12255,2015
South Dakota,862996,12314,2016
South Dakota,872868,12196,2017
South Dakota,878698,12028,2018
Tennessee,6591170,81877,2015
Tennessee,6646010,81248,2016
Tennessee,6708799,80601,2017
Tennessee,6771631,80946,2018
Texas,27470056,402264,2015
Texas,27914410,400965,2016
Texas,28295273,391340,2017
Texas,28628666,379544,2018
Utah,2981835,51013,2015
Utah,3041868,50622,2016
Utah,3101042,49761,2017
Utah,3153550,48349,2018
Vermont,625216,5972,2015
Vermont,623657,5832,2016
Vermont,624344,5775,2017
Vermont,624358,5537,2018
Virginia,8361808,103234,2015
Virginia,8410106,102910,2016
Virginia,8463587,101430,2017
Virginia,8501286,99818,2018
Washington,7163657,88772,2015
Washington,7294771,89751,2016
Washington,7423362,89724,2017
Washington,7523869,87338,2018
West Virginia,1842050,20083,2015
West Virginia,1831023,19411,2016
West Virginia,1817004,18870,2017
West Virginia,1804291,18251,2018
Wisconsin,5760940,67156,2015
Wisconsin,5772628,66803,2016
Wisconsin,5790186,65943,2017
Wisconsin,5807406,64194,2018
Wyoming,585613,7798,2015
Wyoming,584215,7581,2016
Wyoming,578931,7179,2017
Wyoming,577601,6714,2018
Puerto Rico,3473232,32967,2015
Puerto Rico,3406672,30109,2016
Puerto Rico,3325286,26233,2017
Puerto Rico,3193354,22148,2018