State,Year,sum
Alaska,2015,51558
Alaska,2016,52735
Alaska,2017,53174
Alaska,2018,17739
Alabama,2015,616459
Alabama,2016,616935
Alabama,2017,633356
Alabama,2018,215958
Arkansas,2015,372733
Arkansas,2016,371087
Arkansas,2017,382889
Arkansas,2018,130648
Arizona,2015,656887
Arizona,2016,695620
Arizona,2017,703881
Arizona,2018,246282
California,2015,3112953
California,2016,3196735
California,2017,3260509
California,2018,1108803
Colorado,2015,452536
Colorado,2016,462031
Colorado,2017,473747
Colorado,2018,160044
Connecticut,2015,393422.356
Connecticut,2016,399834.9971
Connecticut,2017,420309.8087
Connecticut,2018,141461.9489
District of Columbia,2015,69729
District of Columbia,2016,71836
District of Columbia,2017,79465
District of Columbia,2018,26056
Delaware,2015,105622
Delaware,2016,106584
Delaware,2017,112921
Delaware,2018,38201
Florida,2015,2355663
Florida,2016,2409072
Florida,2017,2498457
Florida,2018,856291
Georgia,2015,970704
Georgia,2016,985064
Georgia,2017,1013180
Georgia,2018,346062
Hawaii,2015,135232
Hawaii,2016,133885
Hawaii,2017,138184
Hawaii,2018,47298
Iowa,2015,357214
Iowa,2016,351123
Iowa,2017,364635
Iowa,2018,121903
Idaho,2015,156351
Idaho,2016,160433
Idaho,2017,166965
Idaho,2018,56679
Illinios,2015,1274674
Illinios,2016,1266917
Illinios,2017,1299124
Illinios,2018,441487
Indiana,2015,774066
Indiana,2016,772332
Indiana,2017,808001
Indiana,2018,272477
Kansas,2015,311774
Kansas,2016,308292
Kansas,2017,316567
Kansas,2018,106463
Kentucky,2015,564346
Kentucky,2016,575272
Kentucky,2017,595166
Kentucky,2018,199012
Louisiana,2015,540172
Louisiana,2016,537572
Louisiana,2017,552457
Louisiana,2018,191381
Massachusetts,2015,718949
Massachusetts,2016,710691
Massachusetts,2017,736870
Massachusetts,2018,248037
Maryland,2015,609758.9002
Maryland,2016,635435.1446
Maryland,2017,686965.0349
Maryland,2018,232376.9023
Maine,2015,179465.1791
Maine,2016,181229.4763
Maine,2017,188604.2299
Maine,2018,64018.57209
Michigan,2015,1157464
Michigan,2016,1148086
Michigan,2017,1183576
Michigan,2018,398469
Minnesota,2015,519045
Minnesota,2016,519949
Minnesota,2017,533656
Minnesota,2018,181200
Missouri,2015,757561
Missouri,2016,749548
Missouri,2017,780024
Missouri,2018,265609
Mississippi,2015,371692
Mississippi,2016,373522
Mississippi,2017,376748
Mississippi,2018,129329
Montana,2015,117536
Montana,2016,120323
Montana,2017,124403
Montana,2018,40755
North Carolina ,2015,1118762.842
North Carolina ,2016,1146780.838
North Carolina ,2017,1199766.475
North Carolina ,2018,409598.1298
North Dakota,2015,84321
North Dakota,2016,81315
North Dakota,2017,84792
North Dakota,2018,28806
Nebraska,2015,203339
Nebraska,2016,197860
Nebraska,2017,205262
Nebraska,2018,68712
New Hampshire,2015,156451.109
New Hampshire,2016,156848.1663
New Hampshire,2017,164052.8666
New Hampshire,2018,55489.30855
New Jersey,2015,873433
New Jersey,2016,866852
New Jersey,2017,912236
New Jersey,2018,307199
New Mexico,2015,224323.7317
New Mexico,2016,228259.2569
New Mexico,2017,233898.8979
New Mexico,2018,78581.34997
Nevada,2015,298588.6444
Nevada ,2016,314914.6141
Nevada,2017,327547.9261
Nevada ,2018,111653.6787
New York,2015,1241839.874
New York,2016,1248984.886
New York,2017,1291932.63
New York,2018,435287.3012
Ohio,2015,1453358
Ohio,2016,1461007
Ohio,2017,1529594
Ohio,2018,516896
Oklahoma,2015,481692.1412
Oklahoma,2016,479090.5206
Oklahoma,2017,492182.5858
Oklahoma,2018,167162.2791
Oregon,2015,439811.1544
Oregon,2016,444028.12
Oregon,2017,459041.3497
Oregon,2018,151575.8965
Pennsylvania ,2015,1641404
Pennsylvania ,2016,1632250
Pennsylvania ,2017,1705962
Pennsylvania ,2018,569152
Rhode Island,2015,136350.2878
Rhode Island,2016,134723.642
Rhode Island,2017,137583.1288
Rhode Island,2018,46007.14613
South Carolina,2015,576750.1386
South Carolina,2016,586699.7163
South Carolina,2017,608003.0943
South Carolina,2018,209862.1927
South Dakota,2015,94674
South Dakota,2016,94971
South Dakota,2017,98792
South Dakota,2018,32511
Tennessee,2015,854974
Tennessee,2016,864134
Tennessee,2017,893464
Tennessee,2018,305553
Texas,2015,2320591
Texas,2016,2341219
Texas,2017,2404236
Texas,2018,831632
United States,2015,33968509.25
United States,2016,34465790.88
United States,2017,35877171.95
United States,2018,12191524.94
Utah,2015,235396.4536
Utah,2016,245236.0053
Utah,2017,245424.3548
Utah,2018,83265.71975
Virginia,2015,809193.8634
Virginia,2016,820810.8686
Virginia,2017,859262.1056
Virginia,2018,292041.2754
Vermont,2015,73226.21229
Vermont,2016,73896.4139
Vermont,2017,76015.23916
Vermont,2018,25435.39334
Washington,2015,679255.6398
Washington,2016,694660.3532
Washington,2017,714030.1157
Washington,2018,238828.9201
Wisconsin,2015,624679
Wisconsin,2016,624921
Wisconsin,2017,639819
Wisconsin,2018,217290
West Virginia,2015,293147.4683
West Virginia,2016,294423.0397
West Virginia,2017,309909.0363
West Virginia,2018,104415.9602
Wyoming,2015,55041
Wyoming,2016,53861
Wyoming,2017,53052
Wyoming,2018,18017
YC,2015,681289.3472
YC,2016,691445.3224
YC,2017,714220.8394
YC,2018,241721.0037